地区,2021年宽带接入,宽带接入比2020年增减 ,2021年FTTH/0用户,FTTH/0用户比2020年增减 ,2021年100M-1000M,100M-1000M比2020年增减 ,大于1000M2021年 ,大于1000M比2020年增减 ,2021年城市用户,2021年城市用户
全国总计,53578.7,5223.7,50550.6,5136.2,46408.3,3585.4,3458.6,2818.6,37808.2,15770.5
东部地区,22948.5,1999.5,21436.2,1999.3,19353,1035.2,1924.4,1624,16264.8,6683.8
北京,806.3,59,777.6,58.2,706.5,52.8,63.5,40.5,713.2,93
天津,584.5,49.9,559.5,43.5,499.5,-9.9,68.5,64.8,524.8,59.8
河北,2796.9,262.5,2666.9,303.9,2335.9,130.7,177.2,166.9,1664.1,1132.8
上海,995.4,76.5,938.7,76.7,749,150.6,31.8,103.3,988.6,6.9
江苏,4071.6,314.8,3767.8,305.3,3220.5,38.9,511.4,394.5,2510.9,1560.7
浙江,3117,178.2,2838.6,145.7,2621,46,275.5,219.8,2191.8,925.3
福建,1985.1,154.1,1841.4,151.9,1785.6,213.2,62,59.9,1383.8,601.4
山东,3863.7,418.1,3656.8,454,3516.4,334.7,242.1,239.9,2736.1,1127.6
广东,4277.7,387.7,3950,362.7,3509.2,99.1,364.1,326.4,3243.7,1034.1
海南,450.2,98.7,438.9,97.5,409.4,97.9,9.4,8.1,307.8,142.4
中部地区,13296.5,1366.6,12672.2,1328.7,11905.2,1123.5,611.2,554.8,9140.1,4156.4
山西,1350.4,98.3,1321.5,95.1,1312,139.6,8.2,6.3,1098.4,252
安徽,2335.8,242.8,2178.4,229.7,2033.2,204.9,63,62.4,1409,926.8
江西,1700.2,189.6,1637.3,188.2,1472.9,106.5,89.1,75.4,1143.4,556.8
河南,3505.8,414.9,3370.9,385.8,3221.9,183.7,246.1,222,2508,997.8
湖北,2081.3,211.2,1999.2,217.9,1860.7,244.9,138.5,130.4,1435.1,646.3
湖南,2323,209.8,2165,212,2004.6,244.1,66.3,58.3,1546.3,776.7
西部地区,14121,1516.7,13400.2,1472.3,12190,1084.3,888.5,607.9,9661.6,4459.4
内蒙古,796.2,73.3,762.5,73.2,731.9,53.6,15.6,14.1,701.5,94.7
广西,1827.4,176.6,1743,168.1,1456.6,121.4,290.5,144.7,1043.9,783.6
重庆,1338.5,110.2,1272.7,122.8,1139.3,96.4,29.9,25.3,984.3,354.3
四川,3220.9,245.5,3135.7,241.8,2676.2,98.7,238,149.1,2013.9,1207
贵州,1187.4,185,1047.1,134.9,1084.5,170.8,32.6,29.1,815.2,372.2
云南,1451.9,173.8,1348.8,174.3,1307.5,153.8,44,40.6,989.4,462.6
西藏,115.3,19,112.8,19.7,106.3,21,1.2,1.1,78.2,37.2
陕西,1567.4,198.4,1439.9,200.2,1378.7,126.3,100.8,93.5,1213.6,353.8
甘肃,1025.2,93.8,993.8,97,881.2,39.8,75.9,55.3,661.3,364
青海,209.4,27.4,192.8,22.3,191.5,14.7,13.7,12.7,152.1,57.2
宁夏,317.1,33.5,309.2,33.2,290.4,15.5,18.1,17.3,246.9,70.2
新疆,1064.2,180.3,1041.9,184.8,945.9,172.4,28.3,25.1,761.4,302.8
东北地区,3212.7,340.9,3042,335.9,2960.1,342.4,34.5,31.8,2741.8,470.9
辽宁,1464.9,133.7,1416.4,139.2,1344.6,130.5,23.2,21.3,1295.9,169.1
吉林,734.2,80,689.8,85,662.1,85.3,3.4,3.2,615.1,119.1
黑龙江,1013.5,127.2,935.8,111.6,953.5,126.6,7.9,7.4,8308,182.7
