Num,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
1,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Tab,Moderate
2,Girl,21-25,University,Non Government,No,Yes,High,Mid,Mobile Data,4G,1月3日,Yes,Mobile,Moderate
3,Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Moderate
4,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
5,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
6,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
7,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
8,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Moderate
9,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
10,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
11,Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
12,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
13,Boy,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
14,Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
15,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Moderate
16,Boy,11月15日,School,Non Government,No,Yes,High,Poor,Wifi,4G,1月3日,No,Mobile,Low
17,Girl,26-30,University,Government,Yes,Yes,Low,Poor,Mobile Data,4G,0,No,Computer,Low
18,Girl,21-25,University,Government,No,No,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
19,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,1月3日,No,Mobile,Low
20,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
21,Girl,6月10日,School,Non Government,No,Yes,Low,Rich,Wifi,4G,1月3日,No,Mobile,High
22,Boy,6月10日,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
23,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Low
24,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
25,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
